Restructuring_ID,Employee_ID,Department,Position,Decision_Date,Effective_Date,Business_Reason,Selection_Criteria,Protected_Attribute_Used,Separation_Benefit_BDT,Estimated_Annual_Cost_Saving_BDT,Critical_Knowledge_Risk,Knowledge_Transfer_Completed,Rehire_Eligible,Ethical_Review_Status
RST-001,SG-21008062009,Smartwatch Production,Assembly Operator,2026-02-01,2026-02-11,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,35000,272400,Low,Yes,Yes,Reviewed
RST-002,SG-27024032502,Finance and Accounts,Costing Analyst,2026-01-26,2026-02-10,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,72000,695280,Low,Yes,No,Reviewed
RST-003,SG-21029082333,Smartwatch Production,Production Supervisor,2026-02-20,2026-02-28,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,57500,919200,Medium,Yes,No,Reviewed
RST-004,SG-21022031927,Smartwatch Production,Assembly Operator,2026-01-21,2026-02-06,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,30750,312480,Medium,Yes,No,Reviewed
RST-005,SG-21024102301,Smartwatch Production,Production Line Leader,2026-03-03,2026-03-10,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,74000,546720,High,Yes,Yes,Reviewed
RST-006,SG-21027072040,Smartwatch Production,Production Line Leader,2026-02-08,2026-02-18,Manual role replaced by redesigned process,"Role need, documented skill match, performance evidence and legal review",No,35500,517680,Low,Yes,No,Reviewed
RST-007,SG-21004102013,Smartwatch Production,Precision Assembly Technician,2026-02-09,2026-02-24,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,56000,440880,High,Yes,No,Reviewed
RST-008,SG-21012042030,Smartwatch Production,Precision Assembly Technician,2026-02-15,2026-03-05,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,44250,431520,Low,No,Yes,Reviewed
RST-009,SG-25008102503,Supply Chain and Planning,Supply Chain Analyst,2026-02-14,2026-02-22,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,100000,775200,High,Yes,No,Reviewed
RST-010,SG-21009112105,Smartwatch Production,Precision Assembly Technician,2026-02-04,2026-02-16,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,55000,439200,Low,Yes,Yes,Reviewed
RST-011,SG-21022112304,Smartwatch Production,SMT Line Technician,2026-02-14,2026-02-27,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,48000,374640,Medium,Yes,Yes,Reviewed
RST-012,SG-21019031923,Smartwatch Production,SMT Line Technician,2026-01-25,2026-02-08,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,54000,405120,High,Yes,Yes,Reviewed
RST-013,SG-21007081814,Smartwatch Production,Assembly Operator,2026-02-05,2026-02-22,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,21500,332640,Medium,Yes,Yes,Reviewed
RST-014,SG-25025042101,Supply Chain and Planning,Material Planner,2026-02-02,2026-02-10,Manual role replaced by redesigned process,"Role need, documented skill match, performance evidence and legal review",No,40500,623280,Medium,Yes,Yes,Reviewed
RST-015,SG-21014122238,Smartwatch Production,Assembly Operator,2026-02-19,2026-02-27,Position removed in cost reset,"Role need, documented skill match, performance evidence and legal review",No,30750,314880,Medium,Yes,No,Reviewed
RST-016,SG-21022041822,Smartwatch Production,Precision Assembly Technician,2026-02-15,2026-02-26,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,62000,485760,Low,Yes,Yes,Reviewed
RST-017,SG-21027042115,Smartwatch Production,Production Line Leader,2026-02-16,2026-02-26,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,32000,468720,Low,Yes,Yes,Reviewed
RST-018,SG-21014052035,Smartwatch Production,Assembly Operator,2026-02-18,2026-03-08,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,41000,304080,Medium,Yes,Yes,Reviewed
RST-019,SG-26002032004,Procurement,Vendor Development Executive,2026-02-13,2026-03-02,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,108000,824640,Low,Yes,Yes,Reviewed
RST-020,SG-26005022102,Procurement,Procurement Officer,2026-02-19,2026-02-27,Skill mismatch for precision manufacturing,"Role need, documented skill match, performance evidence and legal review",No,66000,498480,Medium,Yes,No,Reviewed
RST-021,SG-25026052202,Supply Chain and Planning,Material Planner,2026-02-19,2026-03-08,Role duplication after line consolidation,"Role need, documented skill match, performance evidence and legal review",No,42500,618000,Medium,Yes,No,Reviewed
