Training_Record_ID,Employee_ID,Quarter,Department,Course_Name,Training_Category,Training_Date,Training_Hours,Assessment_Score,Completion_Status,Certified,Training_Cost_BDT,Provider
TR-0001,SG-21016092329,Q4,Smartwatch Production,Precision Assembly Certification,Technical,2026-11-04,16,94,Completed,Yes,4506,Internal SME
TR-0002,SG-12726122102,Q2,Human Resources and People,Precision Assembly Certification,Technical,2026-04-05,16,54,Failed,No,2362,BUET Industry Partner
TR-0003,SG-24010072202,Q2,Research and Development,Precision Assembly Certification,Technical,2026-05-26,16,71,Completed,No,2510,Sabia Academy
TR-0004,SG-29031102607,Q4,Sales Distribution and Service,HRIS Employee Self Service,Digital,2026-11-21,4,85,completed,No,1582,External Consultant
TR-0005,SG-29031102607,Q4,Sales Distribution and Service,Embedded Systems Fundamentals,Technical,2026-12-15,20,68,Completed,No,1245,BUET Industry Partner
TR-0006,SG-22026012504,Q4,Quality Assurance,HRIS Employee Self Service,Digital,2026-11-29,4,80,Completed,No,2075,Sabia Academy
TR-0007,SG-22023012003,Q2,Quality Assurance,Lean Manufacturing Basics,Operational Excellence,2026-05-24,12,65,Completed,No,4794,External Consultant
TR-0008,SG-29026052403,Q2,Sales Distribution and Service,Quality at Source,Quality,2026-06-02,8,51,Failed,No,4428,Internal SME
TR-0009,SG-21004082666,Q4,Smartwatch Production,HRIS Employee Self Service,Digital,2026-10-17,4,84,Completed,No,4101,BUET Industry Partner
TR-0010,SG-21004082666,Q4,Smartwatch Production,ESD Safety and Handling,Compliance,11/23/2026,8,75,Completed,Yes,2293,Sabia Academy
TR-0011,SG-23013052101,Q3,Engineering and Maintenance,Supervisor Essentials,Leadership,2026-08-15,12,81,Completed,No,3566,External Consultant
TR-0012,SG-23013052101,Q2,Engineering and Maintenance,HRIS Employee Self Service,Digital,2026-06-08,4,72,Completed,No,1933,Sabia Academy
TR-0013,SG-23020062609,Q4,Engineering and Maintenance,Power BI for HR and Operations,Analytics,2026-11-18,12,100,Completed,No,2063,Internal SME
TR-0014,SG-12727022606,Q2,Human Resources and People,Precision Assembly Certification,Technical,2026-04-06,16,66,Completed,No,1658,BUET Industry Partner
TR-0015,SG-12727022606,Q3,Human Resources and People,Supervisor Essentials,Leadership,2026-09-21,12,99,completed,No,1807,BUET Industry Partner
TR-0016,SG-24030112504,Q2,Research and Development,Quality at Source,Quality,2026-04-01,8,69,completed,No,4232,External Consultant
TR-0017,SG-22008062305,Q4,Quality Assurance,Power BI for HR and Operations,Analytics,2026-11-08,12,93,Completed,No,3451,External Consultant
TR-0018,SG-22008062305,Q3,Quality Assurance,Embedded Systems Fundamentals,Technical,2026-09-09,20,100,Completed,Yes,3207,Sabia Academy
TR-0019,SG-22008062305,Q2,Quality Assurance,Bangladesh Labour Law Awareness,Compliance,2026-04-02,6,69,Completed,No,1215,Sabia Academy
TR-0020,SG-21022042437,Q4,Smartwatch Production,Quality at Source,Quality,2026-12-03,8,77,Completed,Yes,4619,BUET Industry Partner
TR-0021,SG-12724092608,Q4,Human Resources and People,Embedded Systems Fundamentals,Technical,12/05/2026,20,77,Completed,Yes,2290,External Consultant
TR-0022,SG-12724092608,Q4,Human Resources and People,Supervisor Essentials,Leadership,2026-11-19,12,82,Completed,No,2147,Sabia Academy
TR-0023,SG-12724092608,Q4,Human Resources and People,ESD Safety and Handling,Compliance,2026-10-03,8,86,Completed,Yes,3444,BUET Industry Partner
TR-0024,SG-21021102669,Q4,Smartwatch Production,Embedded Systems Fundamentals,Technical,2026-11-06,20,,Completed,Yes,2924,Internal SME
TR-0025,SG-23015102408,Q4,Engineering and Maintenance,Lean Manufacturing Basics,Operational Excellence,2026-12-10,12,83,Completed,No,3308,Sabia Academy
TR-0026,SG-23015102408,Q4,Engineering and Maintenance,Quality at Source,Quality,2026-10-26,8,96,Completed,Yes,3049,Sabia Academy
TR-0027,SG-12718112609,Q4,Human Resources and People,Precision Assembly Certification,Technical,2026-12-20,16,89,Completed,Yes,2874 taka,BUET Industry Partner
TR-0028,SG-12718112609,Q4,Human Resources and People,Bangladesh Labour Law Awareness,Compliance,2026-12-02,6,90,Completed,Yes,1408,Sabia Academy
TR-0029,SG-22014022110,Q4,Quality Assurance,Power BI for HR and Operations,Analytics,2026-11-15,12,79,Completed,No,1686,Internal SME
