Month,Quarter,Production_Line,Planned_Units,Actual_Units,First_Pass_Yield,Defect_Rate,Rework_Rate,Scrap_Units,Customer_Return_Rate,Units_per_Labour_Hour,Production_Headcount,Downtime_Hours,Primary_Constraint
2026-01-01,Q1,Line A,3456,3200,,0.1854,0.2322,207,0.0668,1.01,19,48.4,Skill shortage
2026-02-01,Q1,Line A,2916,2700,0.5963,0.1928,0.2473,182,0.0694,1.03,17,50.7,Skill shortage
2026-03-01,Q1,Line A,2700,2500,0.6477,0.1696,0.2193,148,0.0611,1.1,14,46.9,Skill shortage
2026-04-01,Q2,Line A,3024,2800,0.6903,0.1521,0.1892,149,0.0548,1.31,14,41.6,Skill shortage
2026-05-01,Q2,Line A,3564,3300,0.7602,0.124,0.1683,143,0.0446,1.43,14,48.5,Process stability
2026-06-01,Q2,Line A,4212,3900,0.7946,0.0954,0.1412,130,0.0344,1.59,15,34.7,Process stability
Jul-2026,Q3,line a,3088,2860,0.8509,8.40%,0.1232,84,0.0302,1.78,10,32.8,Process stability
2026-07-01,Q3,line b,2527,2340,0.8443,0.0836,0.1154,68,0.0301,1.77,10,36.8,Process stability
2026-08-01,Q3,Line A,3682,3410,0.884,0.0698,0.0855,83,0.0251,2.02,10,35.5,Supplier quality
Aug-2026,Q3,Line B,3013,2790,0.8863,0.0765,0.094,74,0.0276,2.0,10,27.0,Supplier quality
Sep-2026,Q3,Line A,4276,3960,0.9292,0.0537,0.0769,74,0.0193,2.2,11,23.9,Supplier quality
2026-09-01,Q3,Line B,3499,3240,0.9182,0.0453,0.0784,51,0.0163,2.16,10,25.6,Supplier quality
2026-10-01,Q4,Line A,4870,4510,0.9479,0.0399,0.0499,62,0.0144,2.31,11,24.4,Demand ramp-up
2026-10-01,Q4,Line B,3985,3690,0.9438,0.0365,0.0576,47,0.0132,2.34,10,27.6,Demand ramp-up
2026-11-01,Q4,Line A,4147,3840,0.9573,0.0336,0.0404,45,0.0121,2.48,10,19.4,Demand ramp-up
2026-11-01,Q4,Line B,3525,3264,0.9615,0.0368,0.0601,42,0.0133,2.56,10,21.6,Demand ramp-up
2026-11-01,Q4,Line C,2695,2496,0.9521,0.0374,0.0399,32,0.0135,2.61,10,27.8,Demand ramp-up
2026-12-01,Q4,Line A,4665,4320,0.9568,0.0212,0.0417,32,0.0076,2.62,10,17.6,Demand ramp-up
2026-12-01,Q4,line b,3965,3672,0.9577,0.0252,0.0472,32,0.0091,2.75,10,20.3,Demand ramp-up
2026-12-01,Q4,Line C,3032,2808,0.9654,0.0237,0.0455,23,0.0085,2.73,10,13.1,Demand ramp-up
